04:46:45 | INFO    | Model: kecg | Device: cuda
04:46:46 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
04:46:48 | INFO    | Params: 5.38M
04:46:48 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/kecg_zh_en_0_3_20260718-044645
04:46:48 | INFO    | Device: cuda:0 | entities=38960 edges=298096 rep_dim=128 seed_pairs=4500 test_pairs=10500
04:48:07 | INFO    |            [l2r] MRR=0.5814 Hit@1=0.4599 Hit@5=0.7340 Hit@10=0.8256 MR=60.6 | [r2l] MRR=0.5732 Hit@1=0.4547 Hit@5=0.7196 Hit@10=0.8095 MR=54.6 | [avg] MRR=0.5773 Hit@1=0.4573 Hit@5=0.7268 Hit@10=0.8176 MR=57.6
04:48:07 | INFO    |            -> new best MRR=0.5773 (saved model_best.pt)
04:48:08 | INFO    | epoch 1050/3000 | loss=2.5554
04:48:08 | INFO    |            [l2r] MRR=0.5815 Hit@1=0.4602 Hit@5=0.7343 Hit@10=0.8270 MR=60.5 | [r2l] MRR=0.5739 Hit@1=0.4551 Hit@5=0.7205 Hit@10=0.8102 MR=54.3 | [avg] MRR=0.5777 Hit@1=0.4577 Hit@5=0.7274 Hit@10=0.8186 MR=57.4
04:48:09 | INFO    |            -> new best MRR=0.5777 (saved model_best.pt)
04:48:10 | INFO    | epoch 1075/3000 | loss=0.0612
04:48:10 | INFO    |            [l2r] MRR=0.5827 Hit@1=0.4618 Hit@5=0.7345 Hit@10=0.8269 MR=60.5 | [r2l] MRR=0.5744 Hit@1=0.4554 Hit@5=0.7215 Hit@10=0.8100 MR=54.2 | [avg] MRR=0.5785 Hit@1=0.4586 Hit@5=0.7280 Hit@10=0.8184 MR=57.3
04:48:11 | INFO    |            -> new best MRR=0.5785 (saved model_best.pt)
04:48:12 | INFO    | epoch 1100/3000 | loss=2.5308
04:48:12 | INFO    |            [l2r] MRR=0.5830 Hit@1=0.4619 Hit@5=0.7353 Hit@10=0.8268 MR=60.3 | [r2l] MRR=0.5744 Hit@1=0.4550 Hit@5=0.7226 Hit@10=0.8108 MR=54.0 | [avg] MRR=0.5787 Hit@1=0.4584 Hit@5=0.7290 Hit@10=0.8188 MR=57.2
04:48:13 | INFO    |            -> new best MRR=0.5787 (saved model_best.pt)
04:48:14 | INFO    | epoch 1125/3000 | loss=0.0616
04:48:14 | INFO    |            [l2r] MRR=0.5834 Hit@1=0.4624 Hit@5=0.7349 Hit@10=0.8266 MR=60.3 | [r2l] MRR=0.5750 Hit@1=0.4553 Hit@5=0.7231 Hit@10=0.8109 MR=53.9 | [avg] MRR=0.5792 Hit@1=0.4589 Hit@5=0.7290 Hit@10=0.8187 MR=57.1
04:48:15 | INFO    |            -> new best MRR=0.5792 (saved model_best.pt)
04:48:16 | INFO    | epoch 1150/3000 | loss=2.5056
04:48:16 | INFO    |            [l2r] MRR=0.5835 Hit@1=0.4622 Hit@5=0.7348 Hit@10=0.8265 MR=60.2 | [r2l] MRR=0.5756 Hit@1=0.4560 Hit@5=0.7232 Hit@10=0.8113 MR=53.6 | [avg] MRR=0.5795 Hit@1=0.4591 Hit@5=0.7290 Hit@10=0.8189 MR=56.9
04:48:17 | INFO    |            -> new best MRR=0.5795 (saved model_best.pt)
04:48:18 | INFO    | epoch 1175/3000 | loss=0.0639
04:48:18 | INFO    |            [l2r] MRR=0.5834 Hit@1=0.4620 Hit@5=0.7348 Hit@10=0.8275 MR=60.2 | [r2l] MRR=0.5759 Hit@1=0.4562 Hit@5=0.7239 Hit@10=0.8114 MR=53.7 | [avg] MRR=0.5797 Hit@1=0.4591 Hit@5=0.7293 Hit@10=0.8195 MR=56.9
04:48:19 | INFO    |            -> new best MRR=0.5797 (saved model_best.pt)
04:48:20 | INFO    | epoch 1200/3000 | loss=2.4797
04:48:20 | INFO    |            [l2r] MRR=0.5838 Hit@1=0.4626 Hit@5=0.7356 Hit@10=0.8282 MR=60.2 | [r2l] MRR=0.5765 Hit@1=0.4565 Hit@5=0.7236 Hit@10=0.8126 MR=53.6 | [avg] MRR=0.5801 Hit@1=0.4595 Hit@5=0.7296 Hit@10=0.8204 MR=56.9
04:48:21 | INFO    |            -> new best MRR=0.5801 (saved model_best.pt)
04:48:22 | INFO    | epoch 1225/3000 | loss=0.0663
04:48:22 | INFO    |            [l2r] MRR=0.5841 Hit@1=0.4631 Hit@5=0.7362 Hit@10=0.8285 MR=60.2 | [r2l] MRR=0.5766 Hit@1=0.4564 Hit@5=0.7239 Hit@10=0.8128 MR=53.6 | [avg] MRR=0.5804 Hit@1=0.4598 Hit@5=0.7300 Hit@10=0.8206 MR=56.9
04:48:23 | INFO    |            -> new best MRR=0.5804 (saved model_best.pt)
04:48:24 | INFO    | epoch 1250/3000 | loss=2.4530
04:48:24 | INFO    |            [l2r] MRR=0.5848 Hit@1=0.4643 Hit@5=0.7361 Hit@10=0.8292 MR=60.1 | [r2l] MRR=0.5771 Hit@1=0.4566 Hit@5=0.7249 Hit@10=0.8122 MR=53.4 | [avg] MRR=0.5810 Hit@1=0.4604 Hit@5=0.7305 Hit@10=0.8207 MR=56.7
